id,URL,Nome,Informação,Classificação_da_água,Coordenadas,Nome da Praia,Região,Concelho,Categoria,Qualidade da água,Vigilancia,Posto de socorro,Sanitarios,Duche,Recolha lixo,Limpeza praia,Painel informativo,Apoio balnear,Apoio à praia,Estacionamento,Bandeira Azul,Acessível,Cadeira anfíbia,Ondas especiais,Obras em curso,Risco de derrocada
9724180070,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180070,Poças da Ribeira Grande,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.826873,-25.522421",Poças da Ribeira Grande,AÇORES,RIBEIRA GRANDE,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
9724180010,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180010,Verdoso,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.413552,-28.339961",Verdoso,AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9724180002,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180002,Clube Naval das Lajes,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.398302,-28.253598",Clube Naval Das Lajes,AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não
9724180056,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180056,Sargentos,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.72594,-27.06162",Sargentos,AÇORES,PRAIA DA VITÓRIA,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9724179990,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179990,Conceição,"Época Balnear 2025, estado : Não iniciou, calendario : de 16 junho a 31 agosto",Excelente,"38.54286,-28.61906",Conceição,AÇORES,HORTA,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim
9724180076,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180076,Zona Balnear Santa Cruz (Calheta),"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.08775,-28.00856",Zona Balnear Santa Cruz (Calheta),AÇORES,SANTA CRUZ DA GRACIOSA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
9724179972,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179972,Salga,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.64833,-27.0976",Salga,AÇORES,ANGRA DO HEROÍSMO,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
11176111998,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/11176111998,Caminho de Baixo (Santa Bárbara),"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Sem classificação,"38.39403,-28.2047",Caminho de Baixo (Santa Bárbara),AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
9724180026,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180026,Piscina Natural das Portas do Mar,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.73963,-25.66114",Piscina Natural das Portas do Mar,AÇORES,PONTA DELGADA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
10686881396,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10686881396,Prainha do Galeão,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.42679,-28.42102",Prainha do Galeão,AÇORES,MADALENA,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
